agency,agency_name,id,use_case_name,agency_bureau,contact_email,is_withheld,development_stage,is_high_impact,HI_justification,topic_area,classification,problem_solved,benefits,system_outputs,operational_date,contracting_usage,vendor_name,have_ato,system_name_ato,data_description,link_to_data,has_pii,pia_url,demographic_features,has_custom_code,code_url,hi_testing_conducted,hi_assessment_completed,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
DOE,Department of Energy,DOE-561,Google Chrome Generative AI,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,"Does not meet the criteria for High-Impact. Unless explicitly deployed in a safety-critical or classified environment, it should be considered Not High Impact.",IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-12-06 00:00:00,Vendor Purchased,Google,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-577,Microsoft Copilot,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-596,Microsoft Visual C++ Redistributable,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-599,Microsoft Teams,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-602,Microsoft Search in Bing,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-608,Microsoft Teams Classic,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-623,Microsoft MSPaint,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-631,Visual Studio Community,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-634,Microsoft OneDrive,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-651,Microsoft 365,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-667,Microsoft Visual C++ Minimum Runtime,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-669,Microsoft OneDrive MUI,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-685,Microsoft 365 Apps for Enterprise,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-691,Microsoft Outlook MUI,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-698,Microsoft Edge,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-710,SQL Server Management Studio,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-711,Microsoft Exchange Server,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-721,Microsoft Skype App,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-735,Microsoft OneNote MUI,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-744,Microsoft PowerPoint MUI,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-748,Microsoft Power BI Desktop,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-749,Microsoft Azure PowerShell,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-453,MI8 Collimators Surogate Model,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pilot,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Classical ML,This project is working to create a ML surogate model of the exisitng MI8 collimation system. The purpose of the ML model is to aid in the tuning of the collimation system for acclerator operations and to help find more optimal settings in a timely m,This project is working to create a ML surogate model of the exisitng MI8 collimation system. The purpose of the ML model is to aid in the tuning of the collimation system for acclerator operations and to help find more optimal settings in a timely manner. We hope to extend these techniques to other sub-systems and also a new MI8 collimation system being installed.,The ML outputs of the system are predictions of collimation system performance given collimation system settings and beam charecteristics.,2025-09-25 00:00:00,In-house Development,,No,,Accelerator operations machine data,,No,,[],Yes,unknown,,,,,,,,,[]
DOE,Department of Energy,DOE-485,Unleashing AI Transformer Models on FPGAs for Accelerating LHC and Particle Physics,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pre-deployment,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Classical ML,"This project centers on the deployment of Transformer models for Field Programmable Gate Arrays (FPGA), in order to seamlessly integrate AI capabilities into particle physics experiments, specifically focusing on the L1 triggering schemes and real-ti","This effort focuses on Transformer models for representation learning on Field Programmable Gate Arrays
(FPGA), in order to seamlessly integrate AI capabilities into particle physics experiments, specifically
focusing on the CMS level-1 (L1) trigger at the High-Luminosity LHC (HL-LHC) and real-time magnet
quench detection. While conventional methods for event identification have limitations, modern AI and
machine learning techniques offer superior alternatives.","This AI system has two fold use cases, represnetation learning for LHC Trigger and multi-modal magnet quench detection algorithms.",2025-09-25 00:00:00,,,No,,research datasets from scientific experiments,,No,,[],Yes,,,,,,,,,,[]
DOE,Department of Energy,DOE-60,Machine Learning for Linac Improved Performance,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pilot,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public safety",Science,Classical ML,"In Linacs at FNAL and J-PARC, the current emittance optimization procedure is limited to manual adjustments of a few parameters; using a larger number is not practically feasible for a human operator. Using machine learning (ML) techniques allows li","Daily fluctuations in the Ion Source conditions as well af the effect of environmental changes to RF systems and cavities affect Linac beam. Results include increased beam loss resulting in increased beamline component irradiation, decreased beam intensity to downstream machines affecting Accelerator Complex deliverables, drifts in Linac beam energy directly affecting Booster losses. These drifts are not easily predictable since we do not have environmental control on the RF gallery, not enough instrumentaion in the Ion Source or Linac proper. To counter these effects, we are developing AI-based optimization and modeling, including Bayesian Optimization and surrogate model-based optimization, with the ultimate goal of (near) real-time RF compensation.",Outputs are proposed changes to RF system parameters (cavity phase settings and/or field gradients) to counter the effect of daily drift and to stabilize the output energy.,2025-09-25 00:00:00,In-house Development,,No,,Accelerator operations machine data as well as accelerator simulation,,No,,[],Yes,unknown,,,,,,,,,[]
DOE,Department of Energy,DOE-61,AI Denoising,FNAL - Fermi National Accelerator (SC43 OIM),,No,Retired,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public safety, stratey,.",,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-62,Next-Generation Beam Cooling and Control with Optical Stochastic Cooling,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pre-deployment,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Reinforcement Learning,This program leverages the physics and technology of optical stochastic cooling (OSC) to explore new possibilities in beam control and sensing.  The planned architecture and performance of a new OSC system at IOTA should enable turn-by-turn programma,This effort focuses on enhanced real-time control of the structure of circulating particle beams. The additional performance and capabilities provided may enable substantially greater operational flexibility and science reach at current and future DOE accelerator facilities.,The AI system will continuously infer the state of a circulating beam distribution and then use this inference in the execution of an RL-based control policy. The primary means of control is an advanced optical stochastic cooling system.,,,,No,,Large-scale simulation data is being used to train the diagnostic and control systems. Online training with experimental data may also be leveraged once the system is operational.,,No,,[],Yes,,,,,,,,,,[]
DOE,Department of Energy,DOE-63,In-storage computing for multi-messenger astronomy in neutrino experiments and cosmological surveys,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pre-deployment,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Classical ML,This project aims to address the big-data challenges and stringent time constraints facing multi-messenger astronomy (MMA) in neutrino experiments and cosomological surveys. Instead of following the traditional computing paradigm of moving data to th,"The purpose is to enhance the ability of large scale neutrino experiments like DUNE to detect neutrinos from core-collapse supernovas (CCSNs) and to extract useful information about their source in real time to provide prompt multi-messenger alerts to other observatories.  Aside from enabling prompt SN pointing that is also precise, this will cut down the rate of fake SN triggers (curretnly estimated at ~1/month) and therefore offer potential savings from a reduction in the hardware resources required for storing the large amounts of data associated with CCSN candidates.","The output of the AI system is a set of predictions which will be used as the basis for a drastic reduction in the amount of data to be fed to the next stage involving reconstruction and analysis.  Before feeding the data to this stage, the AI system will also perform preprocessing operations such as noise removal to facilitate and speed up subsequent data processing.",,,,No,,Simulated data closely approximating real-world raw detector data expected from CCSNs is used to train and validate the ML models used in the data reduction and preprocessing pipeline.,,No,,[],Yes,,,,,,,,,,[]
DOE,Department of Energy,DOE-64,high level synthesis for machine learning (previously hls4ml),FNAL - Fermi National Accelerator (SC43 OIM),,No,Deployed,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Classical ML,This project develops hardware-software AI codesign tools for FPGAs and ASICs for algorithms running at the extreme edge.,hls4ml is used to implement specialized AI algorithms in embedded hardware.  This is valuable across a wide range of scientific applications for enabling real-time processing capabilitles.  This can accelerate sientific discovery and time to science thus enabling large cost savings and DOE scientific prestige.,It can be an AI algorithm from prediction to data compression to control (decision making).,2025-09-25 00:00:00,In-house Development,,No,,research datasets from scientific experiments,,No,,[],Yes,unknown,,,,,,,,,[]
DOE,Department of Energy,DOE-65,Streamining intelligent detectors for sPHENIX/EIC,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pre-deployment,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Classical ML,his project develops real-time algorithms for event filtering with tracking detectors for nuclear physics collider experiments.,AI tools are developed for embedded inference in real-time processing systems for scientific experiments  such as sPHENIX and upcoming EIC. This can accelerate sientific discovery and time to science thus enabling large cost savings and DOE scientific prestige.,It can be an AI algorithm from prediction to data compression to control (decision making).,,,,No,,research datasets from scientific experiments,,No,,[],Yes,,,,,,,,,,[]
DOE,Department of Energy,DOE-66,In-pixel AI for future tracking detectors,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pilot,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Classical ML,This project explores novel  AI-on-chip technology for intelligent detectors embedded with sensing technology,AI algorithms are implemented in on-detector electronics in order to reduce data size and enable processing at high rates.,"A recommendation of whether to save data based on AI classifier. Or, a fast inference of track parameters to be used for fast selection",2025-09-25 00:00:00,In-house Development,,No,,Accelerator operations machine data,,No,,[],Yes,unknown,,,,,,,,,[]
DOE,Department of Energy,DOE-67,SONIC: AI acceleration as a service,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pilot,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public   safety",Science,Classical ML,This project focuses on integration of AI hardware for at-scale inference acceleration for particle physics experiments.,SONIC is used to accelerate AI workloads on coprocessors in scientific experiments.  This can accelerate sientific discovery and time to science thus enabling large cost savings and DOE scientific prestige.,It can be an AI algorithm from prediction to data compression to control (decision making).,2025-09-25 00:00:00,In-house Development,,No,,research datasets from scientific experiments,,No,,[],Yes,unknown,,,,,,,,,[]
DOE,Department of Energy,DOE-68,High-Velocity AI: Generative Models,FNAL - Fermi National Accelerator (SC43 OIM),,No,Retired,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-69,Uncertainty Quantification and Instrument Automation to enable next generation cosmological discoveries,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pre-deployment,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public safety",Science,Classical ML,"This project will develop AI-based tools to enable critical sectors for near-future cosmic applications. Uncertainty quantification is essential for performing discovery science now, and simulation-based inference offers a new approach. The automated",create new methods for uncertainty quantification in AI,ai algorithms,,,,No,,my own simulated data; research datasets from scientific experiments,,No,,[],Yes,,,,,,,,,,[]
DOE,Department of Energy,DOE-70,READS: Real-time Edge AI for Distributed Systems,FNAL - Fermi National Accelerator (SC43 OIM),,No,Deployed,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Classical ML,This project will develop and deploy low-latency controls and prediction algorithms at the Fermilab accelerator complex,"READS has two sub-projects. The first project created the means to stream live Main Injector and Recycler accelerator beam loss monitor data. This data is then fed to an AI model deployed on an FPGA so that it can infer, in realtime, the origin of beam loss, either Main Injector or Recycler, for each beam loss monitor in the tunnel enclosure. The second project aimed to improve upon traditional resonant beam extraction regulation techiniques using AI for use in the Fermilab Delivery Ring and Mu2e.",The ML outputs of the system are inferences as to the origin of beam loss in the Main Injector acclerator enclosure and also suggested regulation ramps to best improve the Spill Duty Factor in the Delivery Ring for Mu2e,2025-09-25 00:00:00,In-house Development,,No,,research datasets from scientific experiments,,No,,[],Yes,unknown,,,,,,,,,[]
DOE,Department of Energy,DOE-71,Simulation-based inference for cosmology,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pre-deployment,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Classical ML,"This project will develop and use simulation-based inference to estimate cosmological parameters related to cosmic acceleration in the early and late universe — via the cosmic microwave background and strong gravitational lensing, respectively. This",DOE ECA award. apply SBI to strong lensing and cmb to infer cosmological parameters,prediction of numerical values of cosmology,,,,No,,research datasets from scientific experiments,,No,,[],Yes,,,,,,,,,,[]
DOE,Department of Energy,DOE-716,Denoising Diffusion to Accelerate Detector Simulation,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pilot,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Classical ML,This program aims to develop generative models for quickly simulating showers of particles in calorimeters for LHC experiments,"This effort is exploring generative AI to replace costly detector simulation. This would enable faster, more accurate simulation, accelerating and enhancing scientific results and allowing easier use of GPU coprocessors at HPC centers.",The AI system outputs simulated detector hits (energy deposits) in one or more subdetectors of the particle physics experiment.,2025-09-25 00:00:00,In-house Development,,No,,research datasets from scientific experiments,,No,,[],Yes,unknown,,,,,,,,,[]
DOE,Department of Energy,DOE-72,Extreme data reduction for the edge,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pre-deployment,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Classical ML,This projects develops AI algorithms and tools for near-sensor data reduction in custom hardware.,AI tools are developed for embedded inference in real-time processing systems for scientific experiments. This can accelerate sientific discovery and time to science thus enabling large cost savings and DOE scientific prestige.,It can be an AI algorithm from prediction to data compression to control (decision making).,,,,No,,research datasets from scientific experiments,,No,,[],Yes,,,,,,,,,,[]
DOE,Department of Energy,DOE-73,Machine Learning for Accelerator Operations Using Big Data Analytics / L-CAPE,FNAL - Fermi National Accelerator (SC43 OIM),,No,Pilot,Not High-impact,"The use case does not have an effect on civil rights/liberties/privacy, access to education/housing/insurance/credit/employment, access to critical government resources/services, human health/safety, critical infrastructure/public  safety",Science,Classical ML,"Big data analytics for anomaly prediction and classification, enabling automatic mitigation, operational savings, and predictive maintenance of the Fermilab LINAC","ML models are deployed for the FNAL's Linac.to detect, label andact upon faults.  The usage of ML will jimporve our fault labelingand detection.  This will allow for improved operatioal efficeincy, fault statistics, and preventitive maintenance. To my knowledge this is the first global accelerator operations ML system.",The ML outputs to a dashboard withfault labels and downtime predictiojns.The model will also try and predict dwwontime and possible actions.,2025-09-25 00:00:00,In-house Development,,No,,my own simulated data; research datasets from scientific experiments,,No,,[],Yes,unknown,,,,,,,,,[]
DOE,Department of Energy,DOE-472,Argonne Resilience AI Assistant ARAIA (nee CALLM),GDO HQ - Grid Deployment Office (GDO),,No,Pre-deployment,Not High-impact,"The ARAIA (nee CALLM) project will have substantial impact in meeting current administration priorities for a secure and resilient power grid by ensuring that risks to the grid can be mitigated through planning, capital resource allocation",Energy and Environment,Generative AI,meeting current administration priorities for a secure and resilient power grid,"The AI, the Argonne Resilience AI Assistant (ARAIA) (nee CALLM - Climate Action through Large Language Models), ARAIA is on track to meet the needs and outcomes outlined in the initial project scope and work plan, but is now better positioned to meet future needs and administration goals. addresses the problem of communicating complex climate projections and scientific literature to a broad audience, particularly electric sector stakeholders. It simplifies this information to help these stakeholders identify climate resilience solutions.

Expected benefits include improved communication of climate science, empowering stakeholders to directly address climate change impacts, and accelerating the scalability  to serve a wider range of users. This ultimately leads to more effective resilience planning and potentially cost savings through better informed decision-making. 
Users can interact with the system to retrieve specific data, such as fire weather indices, and receive actionable recommendations on areas like hazard mitigation planning, infrastructure wildfire risk, and comprehensive wildfire impact. This project represents a significant step forward in integrating cutting-edge AI with our resilience planning efforts, ultimately helping communities and decision-makers mitigate the impacts of natural hazards.","The AI output of Argonne Resilience AI Assistant (ARAIA)  is information synthesized from complex climate projections and scientific literature, presented in a simplified and accessible format. This output helps users understand potential climate impacts and identify appropriate climate resilience solutions. The information is grounded in vetted data and published research to minimize inaccuracies and hallucinations common in large language models. The output could range from summaries of climate-related risks, to lists of potential adaptation strategies tailored to specific situations, depending on the user's input and the function of the system it's integrated with (like ClimRR).",,,,No,,"Argonne Resilience AI Assistant (ARAIA)  tool utilizes vetted climate data and published climate resilience literature to train, fine-tune, and evaluate its performance. The specific datasets are not detailed here, but the approach emphasizes the use of established climate science information to ground the model's responses and mitigate inaccuracies.",,No,,[],,,,,,,,,,,[]
